  PID  PPID STAT COMMAND
    1     0 Ss   /sbin/launchd
   97     1 Ss   /usr/libexec/logd
   98     1 Ss   /usr/libexec/UserEventAgent (System)
  101     1 Ss   /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
  102     1 Ss   /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  103     1 Ss   /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  106     1 Ss   /usr/sbin/systemstats --daemon
  108     1 Ss   /usr/libexec/configd
  109     1 Ss   endpointsecurityd
  110     1 Ss   /System/Library/CoreServices/powerd.bundle/powerd
  114     1 Ss   /usr/libexec/remoted
  116     1 Ss   /usr/libexec/keybagd -t 15
  117     1 Ss   /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  119     1 Ss   /usr/libexec/watchdogd
  123     1 Ss   /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  124     1 Ss   /System/Library/CoreServices/iconservicesd
  125     1 Ss   /usr/libexec/kernelmanagerd
  126     1 Ss   /usr/libexec/diskarbitrationd
  129     1 Ss   /usr/libexec/coreduetd
  130     1 Ss   /usr/sbin/syslogd
  133     1 Ss   /usr/libexec/thermalmonitord
  134     1 Ss   /usr/libexec/opendirectoryd
  135     1 Ss   /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  136     1 Ss   /System/Library/CoreServices/launchservicesd
  137     1 Ss   /usr/libexec/timed
  138     1 Ss   /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  139     1 Ss   /usr/sbin/securityd -i
  140     1 Ss   auditd -l
  144     1 Ss   autofsd
  145     1 Ss   /usr/libexec/displaypolicyd -k 1
  146     1 Ss   /usr/libexec/dasd
  148     1 Ss   /usr/sbin/distnoted daemon
  149     1 Ss   /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  152     1 Ss   /usr/local/mysql/bin/mysqld --user=_mysql --basedir=/usr/local/mysql --datadir=/usr/local/mysql/data --plugin-dir=/usr/local/mysql/lib/plugin --log-error=/usr/local/mysql/data/mysqld.local.err --pid-file=/usr/local/mysql/data/mysqld.local.pid
  153     1 Ss   /System/Library/CoreServices/logind
  154     1 Ss   /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  155     1 Ss   /usr/sbin/KernelEventAgent
  158     1 Ss   /usr/sbin/notifyd
  159     1 Ss   /usr/libexec/sandboxd
